block_number,FLOPs (G),Param Memory (MB),Activation Size (MB),pi_execution_time,gpu_execution_time
0,1.9139,0.0364,24.5,712.8608725965023,0.2817563712596893
1,3.7411,0.2861,24.5,434.26677018404007,0.2072121202945709
2,3.5228,0.2686,24.5,490.3697145730257,0.2067357301712036
3,3.5228,0.2686,12.25,578.7668579816818,0.238884761929512
4,5.9882,1.4473,12.25,260.3696834295988,0.1586334407329559
5,3.5083,1.0684,12.25,261.5029329806566,0.1572796702384948
6,3.5083,1.0684,12.25,270.33730022609234,0.1574629545211792
7,3.5083,1.0684,6.125,389.2670702934265,0.2171989530324936
8,5.9742,5.7695,6.125,207.01227210462093,0.1457929611206054
9,3.5011,4.2617,6.125,209.78721104562285,0.1460525393486023
10,3.5011,4.2617,6.125,209.1769413650036,0.1494625210762024
11,3.5011,4.2617,6.125,206.64678238332272,0.1467987149953842
12,3.5011,4.2617,6.125,206.93396613001823,0.1483380794525146
13,3.5011,4.2617,3.0625,354.23023849725723,0.2405562251806259
14,5.9671,23.0391,3.0625,181.2217879295349,0.1589484512805938
15,3.4975,17.0234,3.0625,181.7044997215271,0.1591669768095016
